source_image_id,file_name,repeat,categories
1,rrailab_000001_rrailab_000001_04_rrailab_000001_0a96ea1f.png,2,face|neck|eyes|eyebrows|mouth|hair|upper clothes|arms|legs|shoes|ears|tail|accessory
2,rrailab_000003_rrailab_000003_04_rrailab_000003_6c28d7f4.png,2,face|neck|eyes|eyebrows|mouth|hair|upper clothes|arms|legs|shoes|ears|tail|accessory
3,head_1a954628.png,2,face|neck|eyes|iris|eyebrows|nose|mouth|ears|accessory|cheek
4,rikka_tachie_small_482b37b9.png,2,eyes|eyebrows|mouth|hair|upper clothes|shoes|torso|cheek
5,ハスキーパーツ分け済み配布用_ffc6b82a.png,2,face|neck|eyes|iris|eyebrows|nose|mouth|hair|arms|legs|ears|tail|torso
6,rrailab_000004_rrailab_000004_04_rrailab_000004_2c3b405d.png,2,face|neck|eyes|eyebrows|mouth|hair|upper clothes|arms|legs|shoes|ears|tail|accessory
7,yuka_model_27210b2c.png,1,face|eyes|eyebrows|nose|mouth|hair|upper clothes|ears|torso
8,mapa_live2d_illustrat_frankengirl_73604588.png,2,face|neck|eyes|mouth|hair|upper clothes|lower clothes|arms|ears|accessory
9,1_7bde41e1.png,2,face|neck|nose|mouth|hair|upper clothes|lower clothes|hands|legs|ears|tail|accessory
10,rikka_tachie_f1835b17.png,2,eyes|eyebrows|mouth|hair|upper clothes|shoes|torso|cheek
11,domino_base_1_domino_base_1_domino_body_base_1_96b06733.png,3,face|iris|arms|hands|legs|feet|ears|torso
12,1_klkvcvcvcvcv_2bdae55c.png,2,face|neck|eyes|eyebrows|nose|mouth|hair|lower clothes|arms|legs|ears|accessory
13,igloovt_chibi_main_base_3_igloovt_chibi_main_base_3_chibi_main_igloo_psd_3_37c7806f.png,2,face|neck|eyes|iris|eyebrows|nose|mouth|arms|hands|legs|ears|torso|cheek
14,original_original_14bbe2cb.png,2,face|neck|eyes|iris|eyebrows|nose|mouth|hair|upper clothes|lower clothes|arms|legs|tail|accessory|torso
